File ID,Value,edinet code
TSE:7735,株式会社ＳＣＲＥＥＮホールディングス,E02288
TSE:4061,デンカ株式会社,E00774
TSE:3994,株式会社マネーフォワード,E33390
TSE:6526,株式会社ソシオネクスト,E37978
TSE:6104,芝浦機械株式会社,E01482
TSE:4519,中外製薬株式会社,E00932
TSE:8698,マネックスグループ株式会社,E03815
TSE:3397,株式会社トリドールホールディングス,E03468
TSE:6460,セガサミーホールディングス株式会社,E02475
TSE:4527,ロート製薬株式会社,E00942
TSE:9706,日本空港ビルデング株式会社,E03863
TSE:3132,マクニカホールディングス株式会社,E31167
TSE:6367,ダイキン工業株式会社,E01570
TSE:2222,寿スピリッツ株式会社,E00387
TSE:4507,塩野義製薬株式会社,E00923
TSE:2146,ＵＴグループ株式会社,E05698
TSE:2501,サッポロホールディングス株式会社,E00393
TSE:6856,株式会社堀場製作所,E01901
TSE:4666,パーク２４株式会社,E04979
TSE:7201,日産自動車株式会社,E02142
TSE:2181,パーソルホールディングス株式会社,E21261
TSE:9432,日本電信電話株式会社,E04430
TSE:4922,株式会社コーセー,E01049
TSE:7518,ネットワンシステムズ株式会社,E04966
TSE:7261,マツダ株式会社,E02163
TSE:4661,株式会社オリエンタルランド,E04707
TSE:7276,株式会社小糸製作所,E02140
TSE:1803,清水建設株式会社,E00053
TSE:6622,株式会社ダイヘン,E01750
TSE:4813,株式会社ＡＣＣＥＳＳ,E05168
TSE:3626,ＴＩＳ株式会社,E05739
TSE:6971,京セラ株式会社,E01182
TSE:2002,株式会社日清製粉グループ本社,E00346
TSE:7180,株式会社九州フィナンシャルグループ,E31612
TSE:5741,株式会社UACJ,E01330
TSE:4704,トレンドマイクロ株式会社,E04999
TSE:7282,豊田合成株式会社,E01108
TSE:9602,東宝株式会社,E04583
TSE:5838,楽天銀行株式会社,E03621
TSE:5076,インフロニア・ホールディングス株式会社,E36723
TSE:6269,三井海洋開発株式会社,E01725
TSE:9006,京浜急行電鉄株式会社,E04089
TSE:8410,株式会社セブン銀行,E03623
TSE:9989,株式会社サンドラッグ,E03226
TSE:8304,株式会社あおぞら銀行,E03531
TSE:9501,東京電力ホールディングス株式会社,E04498
TSE:9201,日本航空株式会社,E04272
TSE:2897,日清食品ホールディングス株式会社,E00457
TSE:6315,ＴＯＷＡ株式会社,E01708
TSE:6383,株式会社ダイフク,E01551
TSE:4912,ライオン株式会社,E00991
TSE:6481,ＴＨＫ株式会社,E01678
TSE:1518,三井松島ホールディングス株式会社,E00037
TSE:9735,セコム株式会社,E04773
TSE:8227,株式会社しまむら,E03137
TSE:3038,株式会社神戸物産,E02999
TSE:3291,飯田グループホールディングス株式会社,E27759
TSE:4684,株式会社オービック,E05025
TSE:7203,トヨタ自動車株式会社,E02144
TSE:4205,日本ゼオン株式会社,E00821
TSE:6268,ナブテスコ株式会社,E01726
TSE:2784,アルフレッサ　ホールディングス株式会社,E02962
TSE:4612,日本ペイントホールディングス株式会社,E00892
TSE:3563,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,E33000
TSE:7731,株式会社ニコン,E02271
TSE:6902,株式会社デンソー,E01892
TSE:5726,株式会社大阪チタニウムテクノロジーズ,E01327
TSE:6920,レーザーテック株式会社,E01991
TSE:8830,住友不動産株式会社,E03907
TSE:2695,くら寿司株式会社,E03375
TSE:1721,コムシスホールディングス株式会社,E00322
TSE:6005,三浦工業株式会社,E01478
TSE:6266,タツモ株式会社,E02350
TSE:2432,株式会社ディー・エヌ・エー,E05460
TSE:4751,株式会社サイバーエージェント,E05072
TSE:7419,株式会社ノジマ,E03235
TSE:9401,株式会社ＴＢＳホールディングス,E04375
TSE:6471,日本精工株式会社,E01600
TSE:4902,コニカミノルタ株式会社,E00989
TSE:6845,アズビル株式会社,E01879
TSE:6201,株式会社豊田自動織機,E01514
TSE:2875,東洋水産株式会社,E00461
TSE:9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社,E36706
TSE:4733,株式会社オービックビジネスコンサルタント,E05048
TSE:6954,ファナック株式会社,E01946
TSE:2579,コカ・コーラ　ボトラーズジャパンホールディングス株式会社,E00417
TSE:1959,株式会社九電工,E00146
TSE:8952,ジャパンリアルエステイト投資法人,
TSE:9509,北海道電力株式会社,E04500
TSE:9020,東日本旅客鉄道株式会社,E04147
TSE:4188,三菱ケミカルグループ株式会社,E00808
TSE:9616,株式会社共立メンテナンス,E04908
TSE:9962,株式会社ミスミグループ本社,E02770
TSE:8897,ＭＩＲＡＲＴＨホールディングス株式会社,E03997
TSE:1812,鹿島建設株式会社,E00058
TSE:9022,東海旅客鉄道株式会社,E04149
TSE:4403,日油株式会社,E00880
TSE:6590,芝浦メカトロニクス株式会社,E01757
TSE:9433,ＫＤＤＩ株式会社,E04425
TSE:5938,株式会社ＬＩＸＩＬ,E01317
TSE:1419,タマホーム株式会社,E27305
TSE:9202,ANAホールディングス株式会社,E04273
TSE:9603,株式会社エイチ・アイ・エス,E04358
TSE:9166,株式会社 GENDA,E38739
TSE:7988,株式会社ニフコ,E02386
TSE:5991,日本発条株式会社,E01367
TSE:5332,ＴＯＴＯ株式会社,E01138
TSE:8802,三菱地所株式会社,E03856
TSE:6988,日東電工株式会社,E01888
TSE:6305,日立建機株式会社,E01585
TSE:9983,株式会社ファーストリテイリング,E03217
TSE:4324,株式会社電通グループ,E04760
TSE:3288,株式会社オープンハウスグループ,E27842
TSE:4732,株式会社ユー・エス・エス,E05045
TSE:2212,山崎製パン株式会社,E00375
TSE:5713,住友金属鉱山株式会社,E00023
TSE:4768,株式会社大塚商会,E05099
TSE:5110,住友ゴム工業株式会社,E01110
TSE:8058,三菱商事株式会社,E02529
TSE:6273,ＳＭＣ株式会社,E01673
TSE:4443,Sansan株式会社,E34960
TSE:6465,ホシザキ株式会社,E01654
TSE:7182,株式会社ゆうちょ銀行,E31775
TSE:8697,株式会社日本取引所グループ,E03814
TSE:8524,株式会社北洋銀行,E03632
TSE:1951,エクシオグループ株式会社,E00094
TSE:2811,カゴメ株式会社,E00444
TSE:6417,株式会社ＳＡＮＫＹＯ,E02419
TSE:4502,武田薬品工業株式会社,E00919
TSE:9531,東京ガス株式会社,E04514
TSE:5444,大和工業株式会社,E01259
TSE:2871,株式会社ニチレイ,E00446
TSE:2229,カルビー株式会社,E25303
TSE:1332,株式会社ニッスイ,E00014
TSE:4046,株式会社大阪ソーダ,E00771
TSE:6594,ニデック株式会社,E01975
TSE:7832,株式会社バンダイナムコホールディングス,E02481
TSE:9861,株式会社吉野家ホールディングス,E03153
TSE:8035,東京エレクトロン株式会社,E02652
TSE:6592,マブチモーター株式会社,E01944
TSE:6432,株式会社竹内製作所,E01723
TSE:6952,カシオ計算機株式会社,E01935
TSE:5101,横浜ゴム株式会社,E01085
TSE:8252,株式会社丸井グループ,E03040
TSE:8015,豊田通商株式会社,E02505
TSE:9504,中国電力株式会社,E04504
TSE:5411,ＪＦＥホールディングス株式会社,E01264
TSE:7701,株式会社島津製作所,E02265
TSE:6753,シャープ株式会社,E01773
TSE:6103,オークマ株式会社,E01481
TSE:6361,株式会社荏原製作所,E01542
TSE:2282,日本ハム株式会社,E00334
TSE:3401,帝人株式会社,E00872
TSE:6326,株式会社クボタ,E01267
TSE:9024,株式会社西武ホールディングス,E04154
TSE:3407,旭化成株式会社,E00877
TSE:8801,三井不動産株式会社,E03855
TSE:3289,東急不動産ホールディングス株式会社,E27633
TSE:8174,日本瓦斯株式会社,E03051
TSE:2206,江崎グリコ株式会社,E00373
TSE:7267,本田技研工業株式会社,E02166
TSE:1808,株式会社長谷工コーポレーション,E00090
TSE:3491,株式会社GA technologies,E34177
TSE:141A,株式会社トライアルホールディングス,E38525
TSE:6504,富士電機株式会社,E01740
TSE:1925,大和ハウス工業株式会社,E00048
TSE:6503,三菱電機株式会社,E01739
TSE:8056,ＢＩＰＲＯＧＹ株式会社,E02611
TSE:7163,住信SBIネット銀行 株式会社,E26990
TSE:9404,日本テレビホールディングス株式会社,E04410
TSE:6302,住友重機械工業株式会社,E01533
TSE:5401,日本製鉄株式会社,E01225
TSE:8341,株式会社七十七銀行,E03545
TSE:4543,テルモ株式会社,E01630
TSE:6506,株式会社安川電機,E01741
TSE:2201,森永製菓株式会社,E00369
TSE:9021,西日本旅客鉄道株式会社,E04148
TSE:7189,株式会社西日本フィナンシャルホールディングス,E32447
TSE:3402,東レ株式会社,E00873
TSE:8113,ユニ・チャーム株式会社,E00678
TSE:6758,ソニーグループ株式会社,E01777
TSE:9697,株式会社カプコン,E02417
TSE:3231,野村不動産ホールディングス株式会社,E04060
TSE:5105,ＴＯＹＯ　ＴＩＲＥ株式会社,E01090
TSE:9005,東急株式会社,E04090
TSE:6724,セイコーエプソン株式会社,E01873
TSE:9468,株式会社ＫＡＤＯＫＡＷＡ,E30731
TSE:9502,中部電力株式会社,E04502
TSE:8418,株式会社山口フィナンシャルグループ,E03622
TSE:5711,三菱マテリアル株式会社,E00021
TSE:7259,株式会社アイシン,E01593
TSE:1942,株式会社関電工,E00074
TSE:1662,石油資源開発株式会社,E00041
TSE:9831,株式会社ヤマダホールディングス,E03139
TSE:5334,日本特殊陶業株式会社,E01136
TSE:5831,株式会社しずおかフィナンシャルグループ,E37777
TSE:4208,ＵＢＥ株式会社,E01002
TSE:8354,株式会社ふくおかフィナンシャルグループ,E03624
TSE:2670,株式会社エービーシー・マート,E02925
TSE:4088,エア・ウォーター株式会社,E00792
TSE:4755,楽天グループ株式会社,E05080
TSE:3659,株式会社ネクソン,E25850
TSE:6976,太陽誘電株式会社,E01824
TSE:7459,株式会社メディパルホールディングス,E02632
TSE:8308,株式会社りそなホールディングス,E03610
TSE:4063,信越化学工業株式会社,E00776
TSE:8334,株式会社群馬銀行,E03554
TSE:9744,株式会社メイテックグループホールディングス,E04804
TSE:6967,新光電気工業株式会社,E01957
TSE:8331,株式会社千葉銀行,E03556
TSE:7649,スギホールディングス株式会社,E03344
TSE:5844,株式会社京都フィナンシャルグループ,E38714
TSE:3003,ヒューリック株式会社,E00523
TSE:7014,株式会社名村造船所,E02129
TSE:9072,ニッコンホールディングス株式会社,E04191
TSE:7186,株式会社コンコルディア・フィナンシャルグループ,E32022
TSE:4676,株式会社フジ・メディア・ホールディングス,E04462
TSE:2768,双日株式会社,E02958
TSE:2801,キッコーマン株式会社,E00435
TSE:2702,日本マクドナルドホールディングス株式会社,E03366
TSE:1605,株式会社ＩＮＰＥＸ,E00043
TSE:8377,株式会社 ほくほくフィナンシャルグループ,E03618
TSE:8136,株式会社サンリオ,E02655
TSE:9613,株式会社ＮＴＴデータグループ,E04911
TSE:3382,株式会社セブン＆アイ・ホールディングス,E03462
TSE:7278,株式会社エクセディ,E02203
TSE:8078,阪和興業株式会社,E02554
TSE:6324,株式会社ハーモニック・ドライブ・システムズ,E01712
TSE:5901,東洋製罐グループホールディングス株式会社,E01353
TSE:4004,株式会社レゾナック・ホールディングス,E00751
TSE:9107,川崎汽船株式会社,E04237
TSE:5201,ＡＧＣ株式会社,E01122
TSE:4183,三井化学株式会社,E00840
TSE:3197,株式会社すかいらーくホールディングス,E03515
TSE:3543,株式会社コメダホールディングス,E32427
TSE:9508,九州電力株式会社,E04506
TSE:3436,株式会社ＳＵＭＣＯ,E02103
TSE:9104,株式会社商船三井,E04236
TSE:5714,DOWAホールディングス株式会社,E00028
TSE:6141,ＤＭＧ森精機株式会社,E01502
TSE:9987,株式会社スズケン,E02780
TSE:6951,日本電子株式会社,E01905
TSE:5631,株式会社日本製鋼所,E01232
TSE:8750,第一生命ホールディングス株式会社,E06141
TSE:8359,株式会社八十二銀行,E03563
TSE:3110,日東紡績株式会社,E00542
TSE:8053,住友商事株式会社,E02528
TSE:8795,株式会社Ｔ＆Ｄホールディングス,E03851
TSE:6113,株式会社アマダ,E01486
TSE:8031,三井物産株式会社,E02513
TSE:6861,株式会社キーエンス,E01967
TSE:7270,株式会社ＳＵＢＡＲＵ,E02152
TSE:6323,ローツェ株式会社,E02328
TSE:3064,株式会社ＭｏｎｏｔａＲＯ,E03497
TSE:5406,株式会社神戸製鋼所,E01231
TSE:2802,味の素株式会社,E00436
TSE:7532,株式会社パン・パシフィック・インターナショナルホールディングス,E03280
TSE:9505,北陸電力株式会社,E04503
TSE:1801,大成建設株式会社,E00052
TSE:8725,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,E03854
TSE:9101,日本郵船株式会社,E04235
TSE:7337,株式会社ひろぎんホールディングス,E35810
TSE:4151,協和キリン株式会社,E00816
TSE:1980,ダイダン株式会社,E00194
TSE:8848,株式会社レオパレス21,E03943
TSE:5232,住友大阪セメント株式会社,E01127
TSE:8601,株式会社大和証券グループ本社,E03753
TSE:2264,森永乳業株式会社,E00331
TSE:8306,株式会社三菱ＵＦＪフィナンシャル・グループ,E03606
TSE:5830,株式会社いよぎんホールディングス,E37725
TSE:1802,株式会社大林組,E00055
TSE:3360,シップヘルスケアホールディングス株式会社,E03450
TSE:4182,三菱ガス化学株式会社,E00815
TSE:7167,株式会社めぶきフィナンシャルグループ,E30103
TSE:8604,野村ホールディングス株式会社,E03752
TSE:1878,大東建託株式会社,E00218
TSE:9506,東北電力株式会社,E04501
TSE:6407,ＣＫＤ株式会社,E01909
TSE:4091,日本酸素ホールディングス株式会社,E00783
TSE:6806,ヒロセ電機株式会社,E01939
TSE:2269,明治ホールディングス株式会社,E21902
TSE:6525,株式会社 KOKUSAI ELECTRIC,E37488
TSE:4540,株式会社ツムラ,E01018
TSE:4186,東京応化工業株式会社,E00854
TSE:4307,株式会社野村総合研究所,E05062
TSE:1911,住友林業株式会社,E00011
TSE:4578,大塚ホールディングス株式会社,E21183
TSE:4043,株式会社トクヤマ,E00768
TSE:7202,いすゞ自動車株式会社,E02143
TSE:2503,キリンホールディングス株式会社,E00395
TSE:4202,株式会社ダイセル,E00818
TSE:5832,株式会社ちゅうぎんフィナンシャルグループ,E37785
TSE:8411,株式会社 みずほフィナンシャルグループ,E03615
TSE:9513,電源開発株式会社,E04510
TSE:7013,株式会社ＩＨＩ,E02128
TSE:5214,日本電気硝子株式会社,E01190
TSE:8804,東京建物株式会社,E03859
TSE:2371,株式会社カカクコム,E05350
TSE:4568,第一三共株式会社,E00984
TSE:2502,アサヒグループホールディングス株式会社,E00394
TSE:6702,富士通株式会社,E01766
TSE:3226,日本アコモデーションファンド投資法人,
TSE:9507,四国電力株式会社,E04505
TSE:6472,ＮＴＮ株式会社,E01601
TSE:8267,イオン株式会社,E03061
TSE:7741,ＨＯＹＡ株式会社,E01124
TSE:7762,シチズン時計株式会社,E02281
TSE:5706,三井金属鉱業株式会社,E00024
TSE:6736,サン電子株式会社,E02070
TSE:4716,日本オラクル株式会社,E05027
TSE:6586,株式会社マキタ,E01920
TSE:5108,株式会社ブリヂストン,E01086
TSE:8963,投資法人インヴィンシブル投資法人,
TSE:4042,東ソー株式会社,E00767
TSE:1928,積水ハウス株式会社,E00143
TSE:3861,王子ホールディングス株式会社,E00642
TSE:6448,ブラザー工業株式会社,E01594
TSE:8593,三菱ＨＣキャピタル株式会社,E04788
TSE:9142,九州旅客鉄道株式会社,E32679
TSE:4680,株式会社ラウンドワン,E04710
TSE:7974,任天堂株式会社,E02367
TSE:4587,ペプチドリーム株式会社,E27486
TSE:6841,横河電機株式会社,E01878
TSE:7012,川崎重工業株式会社,E02127
TSE:6178,日本郵政株式会社,E31748
TSE:8309,三井住友トラスト・ホールディングス株式会社,E03611
TSE:8630,ＳＯＭＰＯホールディングス株式会社,E23924
TSE:6923,スタンレー電気株式会社,E01880
TSE:5333,日本ガイシ株式会社,E01137
TSE:7309,株式会社シマノ,E02257
TSE:7729,株式会社東京精密,E02289
TSE:8316,株式会社三井住友フィナンシャルグループ,E03614
TSE:8020,兼松株式会社,E02506
TSE:6301,株式会社コマツ,E01532
TSE:7751,キヤノン株式会社,E02274
TSE:9749,富士ソフト株式会社,E04810
TSE:6098,株式会社リクルートホールディングス,E07801
TSE:9766,コナミグループ株式会社,E01956
TSE:6770,アルプスアルパイン株式会社,E01793
TSE:7269,スズキ株式会社,E02167
TSE:4894,クオリプス株式会社,E38688
TSE:9503,関西電力株式会社,E04499
TSE:6849,株式会社日本光電,E01903
TSE:6406,フジテック株式会社,E01622
TSE:3405,株式会社クラレ,E00876
TSE:5805,ＳＷＣＣ株式会社,E01336
TSE:8473,SBIホールディングス株式会社,E05159
TSE:9434,ソフトバンク株式会社,E04426
TSE:4204,積水化学工業株式会社,E00820
TSE:6479,ミネベアミツミ株式会社,E01607
TSE:4631,ＤＩＣ株式会社,E00901
TSE:6728,株式会社アルバック,E01589
TSE:3099,株式会社三越伊勢丹ホールディングス,E03521
TSE:4536,参天製薬株式会社,E00949
TSE:8766,東京海上ホールディングス株式会社,E03847
TSE:1969,高砂熱学工業株式会社,E00149
TSE:6368,オルガノ株式会社,E01571
TSE:1326,-,
TSE:4452,花王株式会社,E00883
TSE:3092,株式会社ＺＯＺＯ,E05725
TSE:5947,リンナイ株式会社,E01417
TSE:8242,エイチ・ツー・オー リテイリング株式会社,E03020
TSE:5021,コスモエネルギーホールディングス株式会社,E31632
TSE:9301,三菱倉庫株式会社,E04283
TSE:4613,関西ペイント株式会社,E00893
TSE:8088,岩谷産業株式会社,E02567
TSE:2331,綜合警備保障株式会社,E05309
TSE:9533,東邦ガス株式会社,E04517
TSE:6508,株式会社明電舎,E01744
TSE:8591,オリックス株式会社,E04762
TSE:7936,株式会社アシックス,E02378
TSE:6674,株式会社ジーエス・ユアサ　コーポレーション,E02089
TSE:7181,株式会社かんぽ生命保険,E31755
TSE:2809,キユーピー株式会社,E00464
TSE:7451,三菱食品株式会社,E02558
TSE:8155,三益半導体工業株式会社,E02677
TSE:9532,大阪ガス株式会社,E04520
TSE:5344,株式会社ＭＡＲＵＷＡ,E01210
TSE:5929,三和ホールディングス株式会社,E01385
TSE:5802,住友電気工業株式会社,E01333
TSE:6370,栗田工業株式会社,E01573
TSE:5393,ニチアス株式会社,E01151
TSE:8002,丸紅株式会社,E02498
TSE:5889,Japan Eyewear Holdings株式会社,E39074
TSE:6638,株式会社ミマキエンジニアリング,E02114
TSE:8253,株式会社クレディセゾン,E03041
TSE:7752,株式会社リコー,E02275
TSE:4107,伊勢化学工業株式会社,E01028
TSE:9435,株式会社光通信,E04948
TSE:5803,株式会社フジクラ,E01334
TSE:2587,サントリー食品インターナショナル株式会社,E27622
TSE:7272,ヤマハ発動機株式会社,E02168
TSE:2914,日本たばこ産業株式会社,E00492
TSE:4901,富士フイルムホールディングス株式会社,E00988
TSE:5801,古河電気工業株式会社,E01332
TSE:8279,株式会社ヤオコー,E03127
TSE:1663,Ｋ＆Ｏエナジーグループ株式会社,E30048
TSE:4203,住友ベークライト株式会社,E00819
TSE:3086,Ｊ．フロント リテイリング株式会社,E03516
TSE:6762,TDK株式会社,E01780
TSE:7911,ＴＯＰＰＡＮホールディングス株式会社,E00692
TSE:5019,出光興産株式会社,E01084
TSE:9984,ソフトバンクグループ株式会社,E02778
TSE:6723,ルネサスエレクトロニクス株式会社,E02081
TSE:7011,三菱重工業株式会社,E02126
TSE:6787,株式会社メイコー,E02056
TSE:6501,株式会社日立製作所,E01737
TSE:8233,株式会社高島屋,E03013
TSE:2607,不二製油グループ本社株式会社,E00431
TSE:6981,株式会社村田製作所,E01914
TSE:7453,株式会社良品計画,E03248
TSE:1944,株式会社きんでん,E00075
TSE:5233,太平洋セメント株式会社,E01130
TSE:6146,株式会社ディスコ,E01506
TSE:7733,オリンパス株式会社,E02272
TSE:1766,東建コーポレーション株式会社,E00281
TSE:6810,マクセル株式会社,E01947
TSE:7912,大日本印刷株式会社,E00693
TSE:6101,株式会社ツガミ,E01480
TSE:8001,伊藤忠商事株式会社,E02497
TSE:3591,株式会社ワコールホールディングス,E00590
TSE:9719,SCSK株式会社,E04830
TSE:4726,ＳＢテクノロジー株式会社,E05037
TSE:2651,株式会社ローソン,E03345
TSE:6701,日本電気株式会社,E01765
TSE:7721,東京計器株式会社,E02266
TSE:7867,株式会社タカラトミー,E02450
TSE:5842,インテグラル株式会社,E25156
TSE:8050,セイコーグループ株式会社,E02280
TSE:8905,イオンモール株式会社,E04002
TSE:4980,デクセリアルズ株式会社,E31633
TSE:5020,ＥＮＥＯＳホールディングス株式会社,E24050
TSE:7220,武蔵精密工業株式会社,E02237
TSE:6016,株式会社ジャパンエンジンコーポレーション,E01474
TSE:4348,インフォコム株式会社,E05272
TSE:7744,ノーリツ鋼機株式会社,E02322
