File ID,Value
TSE:3291,飯田グループホールディングス株式会社
TSE:4684,株式会社オービック
TSE:7203,トヨタ自動車株式会社
TSE:4205,日本ゼオン株式会社
TSE:6268,ナブテスコ株式会社
TSE:2784,アルフレッサ　ホールディングス株式会社
TSE:4612,日本ペイントホールディングス株式会社
TSE:3563,株式会社ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ
TSE:7731,株式会社ニコン
TSE:6902,株式会社デンソー
TSE:5726,株式会社大阪チタニウムテクノロジーズ
TSE:6920,レーザーテック株式会社
TSE:8830,住友不動産株式会社
TSE:2695,くら寿司株式会社
TSE:1721,コムシスホールディングス株式会社
TSE:6005,三浦工業株式会社
TSE:6266,タツモ株式会社
TSE:2432,株式会社ディー・エヌ・エー
TSE:4751,株式会社サイバーエージェント
TSE:7419,株式会社ノジマ
TSE:9401,株式会社ＴＢＳホールディングス
TSE:6471,日本精工株式会社
TSE:4902,コニカミノルタ株式会社
TSE:6845,アズビル株式会社
TSE:6201,株式会社豊田自動織機
TSE:2875,東洋水産株式会社
TSE:9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社
TSE:4733,株式会社オービックビジネスコンサルタント
TSE:6954,ファナック株式会社
TSE:2579,コカ・コーラ　ボトラーズジャパンホールディングス株式会社
TSE:1959,株式会社九電工
TSE:8952,ジャパンリアルエステイト投資法人
TSE:9509,北海道電力株式会社
TSE:9020,東日本旅客鉄道株式会社
TSE:4188,三菱ケミカルグループ株式会社
TSE:9616,株式会社共立メンテナンス
TSE:9962,株式会社ミスミグループ本社
TSE:8897,ＭＩＲＡＲＴＨホールディングス株式会社
TSE:1812,鹿島建設株式会社
TSE:9022,東海旅客鉄道株式会社
TSE:4403,日油株式会社
TSE:6590,芝浦メカトロニクス株式会社
TSE:9433,ＫＤＤＩ株式会社
TSE:5938,株式会社ＬＩＸＩＬ
TSE:1419,タマホーム株式会社
TSE:9202,ANAホールディングス株式会社
TSE:9603,株式会社エイチ・アイ・エス
TSE:9166,株式会社 GENDA
TSE:7988,株式会社ニフコ
TSE:5991,日本発条株式会社
TSE:5332,ＴＯＴＯ株式会社
TSE:8802,三菱地所株式会社
TSE:6988,日東電工株式会社
TSE:6305,日立建機株式会社
TSE:9983,株式会社ファーストリテイリング
TSE:4324,株式会社電通グループ
TSE:3288,株式会社オープンハウスグループ
TSE:4732,株式会社ユー・エス・エス
TSE:2212,山崎製パン株式会社
TSE:5713,住友金属鉱山株式会社
TSE:4768,株式会社大塚商会
TSE:5110,住友ゴム工業株式会社
TSE:8058,三菱商事株式会社
TSE:6273,ＳＭＣ株式会社
TSE:4443,Sansan株式会社
TSE:6465,ホシザキ株式会社
TSE:7182,株式会社ゆうちょ銀行
TSE:8697,株式会社日本取引所グループ
TSE:8524,株式会社北洋銀行
TSE:1951,エクシオグループ株式会社
TSE:2811,カゴメ株式会社
TSE:6417,株式会社ＳＡＮＫＹＯ
TSE:4502,武田薬品工業株式会社
TSE:9531,東京ガス株式会社
TSE:5444,大和工業株式会社
TSE:2871,株式会社ニチレイ
TSE:2229,カルビー株式会社
TSE:1332,株式会社ニッスイ
TSE:4046,株式会社大阪ソーダ
TSE:6594,ニデック株式会社
TSE:7832,株式会社バンダイナムコホールディングス
TSE:9861,株式会社吉野家ホールディングス
TSE:8035,東京エレクトロン株式会社
TSE:6592,マブチモーター株式会社
TSE:6432,株式会社竹内製作所
TSE:6952,カシオ計算機株式会社
TSE:5101,横浜ゴム株式会社
TSE:8252,株式会社丸井グループ
TSE:8015,豊田通商株式会社
TSE:9504,中国電力株式会社
TSE:5411,ＪＦＥホールディングス株式会社
TSE:7701,株式会社島津製作所
TSE:6753,シャープ株式会社
TSE:6103,オークマ株式会社
TSE:6361,株式会社荏原製作所
TSE:2282,日本ハム株式会社
TSE:3401,帝人株式会社
TSE:6326,株式会社クボタ
TSE:9024,株式会社西武ホールディングス
TSE:3407,旭化成株式会社
TSE:8801,三井不動産株式会社
TSE:3289,東急不動産ホールディングス株式会社
TSE:8174,日本瓦斯株式会社
TSE:2206,江崎グリコ株式会社
TSE:7267,本田技研工業株式会社
TSE:1808,株式会社長谷工コーポレーション
TSE:3491,株式会社GA technologies
TSE:141A,株式会社トライアルホールディングス
TSE:6504,富士電機株式会社
TSE:1925,大和ハウス工業株式会社
TSE:6503,三菱電機株式会社
TSE:8056,ＢＩＰＲＯＧＹ株式会社
TSE:7163,住信SBIネット銀行 株式会社
TSE:9404,日本テレビホールディングス株式会社
TSE:6302,住友重機械工業株式会社
TSE:5401,日本製鉄株式会社
TSE:8341,株式会社七十七銀行
TSE:4543,テルモ株式会社
TSE:6506,株式会社安川電機
TSE:2201,森永製菓株式会社
TSE:9021,西日本旅客鉄道株式会社
TSE:7189,株式会社西日本フィナンシャルホールディングス
TSE:3402,東レ株式会社
TSE:8113,ユニ・チャーム株式会社
TSE:6758,ソニーグループ株式会社
TSE:9697,株式会社カプコン
TSE:3231,野村不動産ホールディングス株式会社
TSE:5105,ＴＯＹＯ　ＴＩＲＥ株式会社
TSE:9005,東急株式会社
TSE:6724,セイコーエプソン株式会社
TSE:9468,株式会社ＫＡＤＯＫＡＷＡ
TSE:9502,中部電力株式会社
TSE:8418,株式会社山口フィナンシャルグループ
TSE:5711,三菱マテリアル株式会社
TSE:7259,株式会社アイシン
TSE:1942,株式会社関電工
TSE:1662,石油資源開発株式会社
TSE:9831,株式会社ヤマダホールディングス
TSE:5334,日本特殊陶業株式会社
TSE:5831,株式会社しずおかフィナンシャルグループ
TSE:4208,ＵＢＥ株式会社
TSE:8354,株式会社ふくおかフィナンシャルグループ
TSE:2670,株式会社エービーシー・マート
TSE:4088,エア・ウォーター株式会社
TSE:4755,楽天グループ株式会社
TSE:3659,株式会社ネクソン
TSE:6976,太陽誘電株式会社
TSE:7459,株式会社メディパルホールディングス
TSE:8308,株式会社りそなホールディングス
TSE:4063,信越化学工業株式会社
TSE:8334,株式会社群馬銀行
TSE:9744,株式会社メイテックグループホールディングス
TSE:6967,新光電気工業株式会社
TSE:8331,株式会社千葉銀行
TSE:7649,スギホールディングス株式会社
TSE:5844,株式会社京都フィナンシャルグループ
TSE:3003,ヒューリック株式会社
TSE:7014,株式会社名村造船所
TSE:9072,ニッコンホールディングス株式会社
TSE:7186,株式会社コンコルディア・フィナンシャルグループ
TSE:4676,株式会社フジ・メディア・ホールディングス
TSE:2768,双日株式会社
TSE:2801,キッコーマン株式会社
TSE:2702,日本マクドナルドホールディングス株式会社
TSE:1605,株式会社ＩＮＰＥＸ
TSE:8377,株式会社 ほくほくフィナンシャルグループ
TSE:8136,株式会社サンリオ
TSE:9613,株式会社ＮＴＴデータグループ
TSE:3382,株式会社セブン＆アイ・ホールディングス
TSE:7278,株式会社エクセディ
TSE:8078,阪和興業株式会社
TSE:6324,株式会社ハーモニック・ドライブ・システムズ
TSE:5901,東洋製罐グループホールディングス株式会社
TSE:4004,株式会社レゾナック・ホールディングス
TSE:9107,川崎汽船株式会社
TSE:5201,ＡＧＣ株式会社
TSE:4183,三井化学株式会社
TSE:3197,株式会社すかいらーくホールディングス
TSE:3543,株式会社コメダホールディングス
TSE:9508,九州電力株式会社
TSE:3436,株式会社ＳＵＭＣＯ
TSE:9104,株式会社商船三井
TSE:5714,DOWAホールディングス株式会社
TSE:6141,ＤＭＧ森精機株式会社
TSE:9987,株式会社スズケン
TSE:6951,日本電子株式会社
TSE:5631,株式会社日本製鋼所
TSE:8750,第一生命ホールディングス株式会社
TSE:8359,株式会社八十二銀行
TSE:3110,日東紡績株式会社
TSE:8053,住友商事株式会社
TSE:8795,株式会社Ｔ＆Ｄホールディングス
TSE:6113,株式会社アマダ
TSE:8031,三井物産株式会社
TSE:6861,株式会社キーエンス
TSE:7270,株式会社ＳＵＢＡＲＵ
TSE:6323,ローツェ株式会社
TSE:3064,株式会社ＭｏｎｏｔａＲＯ
TSE:5406,株式会社神戸製鋼所
TSE:2802,味の素株式会社
TSE:7532,株式会社パン・パシフィック・インターナショナルホールディングス
TSE:9505,北陸電力株式会社
TSE:1801,大成建設株式会社
TSE:8725,ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社
TSE:9101,日本郵船株式会社
TSE:7337,株式会社ひろぎんホールディングス
TSE:4151,協和キリン株式会社
TSE:1980,ダイダン株式会社
TSE:8848,株式会社レオパレス21
TSE:5232,住友大阪セメント株式会社
TSE:8601,株式会社大和証券グループ本社
TSE:2264,森永乳業株式会社
TSE:8306,株式会社三菱ＵＦＪフィナンシャル・グループ
TSE:5830,株式会社いよぎんホールディングス
TSE:1802,株式会社大林組
TSE:3360,シップヘルスケアホールディングス株式会社
TSE:4182,三菱ガス化学株式会社
TSE:7167,株式会社めぶきフィナンシャルグループ
TSE:8604,野村ホールディングス株式会社
TSE:1878,大東建託株式会社
TSE:9506,東北電力株式会社
TSE:6407,ＣＫＤ株式会社
TSE:4091,日本酸素ホールディングス株式会社
TSE:6806,ヒロセ電機株式会社
TSE:2269,明治ホールディングス株式会社
TSE:6525,株式会社 KOKUSAI ELECTRIC
TSE:4540,株式会社ツムラ
TSE:4186,東京応化工業株式会社
TSE:4307,株式会社野村総合研究所
TSE:1911,住友林業株式会社
TSE:4578,大塚ホールディングス株式会社
TSE:4043,株式会社トクヤマ
TSE:7202,いすゞ自動車株式会社
TSE:2503,キリンホールディングス株式会社
TSE:4202,株式会社ダイセル
TSE:5832,株式会社ちゅうぎんフィナンシャルグループ
TSE:8411,株式会社 みずほフィナンシャルグループ
TSE:9513,電源開発株式会社
TSE:7013,株式会社ＩＨＩ
TSE:5214,日本電気硝子株式会社
TSE:8804,東京建物株式会社
TSE:2371,株式会社カカクコム
TSE:4568,第一三共株式会社
TSE:2502,アサヒグループホールディングス株式会社
TSE:6702,富士通株式会社
TSE:3226,日本アコモデーションファンド投資法人
TSE:9507,四国電力株式会社
TSE:6472,ＮＴＮ株式会社
TSE:8267,イオン株式会社
TSE:7741,ＨＯＹＡ株式会社
TSE:7762,シチズン時計株式会社
TSE:5706,三井金属鉱業株式会社
TSE:6736,サン電子株式会社
TSE:4716,日本オラクル株式会社
TSE:6586,株式会社マキタ
TSE:5108,株式会社ブリヂストン
TSE:8963,投資法人インヴィンシブル投資法人
TSE:4042,東ソー株式会社
TSE:1928,積水ハウス株式会社
TSE:3861,王子ホールディングス株式会社
TSE:6448,ブラザー工業株式会社
TSE:8593,三菱ＨＣキャピタル株式会社
TSE:9142,九州旅客鉄道株式会社
TSE:4680,株式会社ラウンドワン
TSE:7974,任天堂株式会社
TSE:4587,ペプチドリーム株式会社
TSE:6841,横河電機株式会社
TSE:7012,川崎重工業株式会社
TSE:6178,日本郵政株式会社
TSE:8309,三井住友トラスト・ホールディングス株式会社
TSE:8630,ＳＯＭＰＯホールディングス株式会社
TSE:6923,スタンレー電気株式会社
TSE:5333,日本ガイシ株式会社
TSE:7309,株式会社シマノ
TSE:7729,株式会社東京精密
TSE:8316,株式会社三井住友フィナンシャルグループ
TSE:8020,兼松株式会社
TSE:6301,株式会社コマツ
TSE:7751,キヤノン株式会社
TSE:9749,富士ソフト株式会社
TSE:6098,株式会社リクルートホールディングス
TSE:9766,コナミグループ株式会社
TSE:6770,アルプスアルパイン株式会社
TSE:7269,スズキ株式会社
TSE:4894,クオリプス株式会社
TSE:9503,関西電力株式会社
TSE:6849,株式会社日本光電
TSE:6406,フジテック株式会社
TSE:3405,株式会社クラレ
TSE:5805,ＳＷＣＣ株式会社
TSE:8473,SBIホールディングス株式会社
TSE:9434,ソフトバンク株式会社
TSE:4204,積水化学工業株式会社
TSE:6479,ミネベアミツミ株式会社
TSE:4631,ＤＩＣ株式会社
TSE:6728,株式会社アルバック
TSE:3099,株式会社三越伊勢丹ホールディングス
TSE:4536,参天製薬株式会社
TSE:8766,東京海上ホールディングス株式会社
TSE:1969,高砂熱学工業株式会社
TSE:6368,オルガノ株式会社
TSE:1326,-
TSE:4452,花王株式会社
TSE:3092,株式会社ＺＯＺＯ
TSE:5947,リンナイ株式会社
TSE:8242,エイチ・ツー・オー リテイリング株式会社
TSE:5021,コスモエネルギーホールディングス株式会社
TSE:9301,三菱倉庫株式会社
TSE:4613,関西ペイント株式会社
TSE:8088,岩谷産業株式会社
TSE:2331,綜合警備保障株式会社
TSE:9533,東邦ガス株式会社
TSE:6508,株式会社明電舎
TSE:8591,オリックス株式会社
TSE:7936,株式会社アシックス
TSE:6674,株式会社ジーエス・ユアサ　コーポレーション
TSE:7181,株式会社かんぽ生命保険
TSE:2809,キユーピー株式会社
TSE:7451,三菱食品株式会社
TSE:8155,三益半導体工業株式会社
TSE:9532,大阪ガス株式会社
TSE:5344,株式会社ＭＡＲＵＷＡ
TSE:5929,三和ホールディングス株式会社
TSE:5802,住友電気工業株式会社
TSE:6370,栗田工業株式会社
TSE:5393,ニチアス株式会社
TSE:8002,丸紅株式会社
TSE:5889,Japan Eyewear Holdings株式会社
TSE:6638,株式会社ミマキエンジニアリング
TSE:8253,株式会社クレディセゾン
TSE:7752,株式会社リコー
TSE:4107,伊勢化学工業株式会社
TSE:9435,株式会社光通信
TSE:5803,株式会社フジクラ
TSE:2587,サントリー食品インターナショナル株式会社
TSE:7272,ヤマハ発動機株式会社
TSE:2914,日本たばこ産業株式会社
TSE:4901,富士フイルムホールディングス株式会社
TSE:5801,古河電気工業株式会社
TSE:8279,株式会社ヤオコー
TSE:1663,Ｋ＆Ｏエナジーグループ株式会社
TSE:4203,住友ベークライト株式会社
TSE:3086,Ｊ．フロント リテイリング株式会社
TSE:6762,TDK株式会社
TSE:7911,ＴＯＰＰＡＮホールディングス株式会社
TSE:5019,出光興産株式会社
TSE:9984,ソフトバンクグループ株式会社
TSE:6723,ルネサスエレクトロニクス株式会社
TSE:7011,三菱重工業株式会社
TSE:6787,株式会社メイコー
TSE:6501,株式会社日立製作所
TSE:8233,株式会社高島屋
TSE:2607,不二製油グループ本社株式会社
TSE:6981,株式会社村田製作所
TSE:7453,株式会社良品計画
TSE:1944,株式会社きんでん
TSE:5233,太平洋セメント株式会社
TSE:6146,株式会社ディスコ
TSE:7733,オリンパス株式会社
TSE:1766,東建コーポレーション株式会社
TSE:6810,マクセル株式会社
TSE:7912,大日本印刷株式会社
TSE:6101,株式会社ツガミ
TSE:8001,伊藤忠商事株式会社
TSE:3591,株式会社ワコールホールディングス
TSE:9719,SCSK株式会社
TSE:4726,ＳＢテクノロジー株式会社
TSE:2651,株式会社ローソン
TSE:6701,日本電気株式会社
TSE:7721,東京計器株式会社
TSE:7867,株式会社タカラトミー
TSE:5842,インテグラル株式会社
TSE:8050,セイコーグループ株式会社
TSE:8905,イオンモール株式会社
TSE:4980,デクセリアルズ株式会社
TSE:5020,ＥＮＥＯＳホールディングス株式会社
TSE:7220,武蔵精密工業株式会社
TSE:6016,株式会社ジャパンエンジンコーポレーション
TSE:4348,インフォコム株式会社
TSE:7744,ノーリツ鋼機株式会社
